theta_arcsec,intensity,enclosed_fraction
2.98,2.449860638118761E-05,0.9910819993405208
2.985,2.4340571429537332E-05,0.9911084103690276
2.99,2.4183844055689097E-05,0.9911346519327346
2.995,2.402841106318128E-05,0.9911607932343046
3,2.387425941314963E-05,0.9911868350440027
3.005,2.372137622215832E-05,0.9912127038466979
3.0100000000000002,2.3569793415886218E-05,0.9912384687992022
3.015,2.3419409939969168E-05,0.9912641370716384
3.02,2.3270257060146673E-05,0.9912896509256899
3.025,2.3122322493948307E-05,0.9913150476784997
3.0300000000000002,2.297559410380488E-05,0.9913403504633823
3.035,2.2830059895071917E-05,0.9913655144165786
3.04,2.2685708014078037E-05,0.9913905508778696
3.045,2.2542526746232094E-05,0.9914154960247605
3.0500000000000003,2.240050451410408E-05,0.9914403150947028
3.055,2.2259629875626756E-05,0.9914649990262255
3.06,2.211989152220889E-05,0.9914895942272897
3.065,2.1981278276987193E-05,0.9915140733555016
3.0700000000000003,2.1843779093032483E-05,0.9915384123429579
3.075,2.1707383051597478E-05,0.9915626651159926
3.08,2.1572079360433985E-05,0.991586809169176
3.085,2.1437857352068112E-05,0.9916108106261828
3.09,2.1304706482156537E-05,0.9916347283185405
3.095,2.117261632783821E-05,0.9916585420898093
3.1,2.1041576586120785E-05,0.9916822132617701
3.105,2.091157707229605E-05,0.9917058030541911
3.11,2.0782607718362783E-05,0.9917292912642822
3.115,2.0654658571502216E-05,0.9917526392321705
3.12,2.0527719792536367E-05,0.9917759081425276
3.125,2.040178165444532E-05,0.9917990754409911
3.13,2.027683454089192E-05,0.9918221071250458
3.1350000000000002,2.0152868944771023E-05,0.9918450620120026
3.14,2.0029875466767207E-05,0.9918679129783703
3.145,1.990784481395996E-05,0.9918906351417078
3.15,1.9786767798425712E-05,0.9919132827082936
3.1550000000000002,1.966663533587564E-05,0.9919358218532273
3.16,1.9547438444303315E-05,0.9919582411053692
3.165,1.9429168242669484E-05,0.9919805879024718
3.17,1.9311815949575157E-05,0.9920028196688915
3.1750000000000003,1.9195372881992134E-05,0.9920249424692128
3.18,1.907983045396549E-05,0.9920469948989915
3.185,1.896518017540815E-05,0.992068923663184
3.19,1.885141365082386E-05,0.9920907563242817
3.1950000000000003,1.8738522578112577E-05,0.9921125206435025
3.2,1.862649874737768E-05,0.9921341507162104
3.205,1.8515334039731305E-05,0.9921556994071957
3.21,1.8405020426151944E-05,0.9921771817304904
3.215,1.829554996631727E-05,0.9921985173579825
3.22,1.8186914807499086E-05,0.9922197881131921
3.225,1.8079128242492205E-05,0.9922409781029009
3.23,1.7972140842181742E-05,0.992262039817285
3.235,1.786596564817316E-05,0.9922830385426705
3.24,1.776059514721269E-05,0.9923039403512893
3.245,1.7656021908150205E-05,0.9923247339402009
3.25,1.755223858090882E-05,0.9923454663746769
3.255,1.7449237895477194E-05,0.9923660840793734
3.2600000000000002,1.734701266087475E-05,0.9923866152174519
3.265,1.7245555764198895E-05,0.9924070869871314
3.27,1.714486016961461E-05,0.9924274246161002
3.275,1.7044918917413155E-05,0.9924476988499996
3.2800000000000002,1.6945725123050873E-05,0.99246789793292
3.285,1.684727197621721E-05,0.9924879769744086
3.29,1.6749552739914337E-05,0.9925079997243451
3.295,1.6652560749547103E-05,0.992527924661815
3.3000000000000003,1.655628941201747E-05,0.9925477558566053
3.305,1.646073220485874E-05,0.9925675324191826
3.31,1.6365882675346412E-05,0.9925871870914472
3.315,1.627173443964118E-05,0.9926067756609387
3.3200000000000003,1.617828118195387E-05,0.9926262966376822
3.325,1.608551665369502E-05,0.992645699441697
3.33,1.5993434672663265E-05,0.9926650504880282
3.335,1.5902029122223223E-05,0.9926843069123791
3.34,1.5811293950506126E-05,0.992703475638441
3.345,1.5721223169634893E-05,0.9927225941471544
3.35,1.5631810854916848E-05,0.9927415897572955
3.355,1.554305114409824E-05,0.9927605293197651
3.36,1.5454938236603293E-05,0.992779395907325
3.365,1.5367466392776976E-05,0.992798158641293
3.37,1.528062993316278E-05,0.9928168738420414
3.375,1.519442323775763E-05,0.9928354851193835
3.38,1.5108840745322982E-05,0.9928540267549525
3.3850000000000002,1.5023876952645758E-05,0.9928725117311815
3.39,1.4939526413859469E-05,0.9928908818547608
3.395,1.485578373975971E-05,0.9929092070164476
3.4,1.4772643597118452E-05,0.9929274420651582
3.4050000000000002,1.4690100708019916E-05,0.9929455988710688
3.41,1.4608149849186575E-05,0.9929637102802207
3.415,1.4526785851357574E-05,0.992981700721003
3.42,1.4446003598619702E-05,0.9929996486625086
3.4250000000000003,1.4365798027779106E-05,0.9930175154084583
3.43,1.4286164127751488E-05,0.9930353000374178
3.435,1.4207096938935497E-05,0.9930530434654237
3.44,1.4128591552600665E-05,0.9930706689933524
3.4450000000000003,1.4050643110293232E-05,0.993088252098393
3.45,1.3973246803245116E-05,0.9931057582934327
3.455,1.3896397871792352E-05,0.9931231829682947
3.46,1.3820091604796204E-05,0.9931405687385753
3.465,1.3744323339078183E-05,0.9931578387888825
3.47,1.3669127521999544E-05,0.9931750690289619
3.475,1.3594422156649445E-05,0.9931922222802816
3.48,1.3520241002617596E-05,0.9932092988505116
3.485,1.3446579583265598E-05,0.9932263361274933
3.49,1.3373433467081253E-05,0.9932432608185443
3.495,1.3300798267164924E-05,0.9932601497849584
3.5,1.322866964070872E-05,0.9932769575115019
3.505,1.3157043288482306E-05,0.9932936973512516
3.5100000000000002,1.308591495432777E-05,0.9933103915141375
3.515,1.3015280424673566E-05,0.9933269839860854
3.52,1.2945135528028855E-05,0.9933435427990108
3.525,1.2875476134505686E-05,0.9933600122282006
3.5300000000000002,1.2806298155350905E-05,0.9933764263432665
3.535,1.2737597542453315E-05,0.993392784590756
3.54,1.266937028788712E-05,0.9934090557134
3.545,1.2601612423470892E-05,0.9934252951523298
3.5500000000000003,1.2534320020272291E-05,0.993441433377904
3.555,1.2467489188205183E-05,0.9934575324064492
3.56,1.240111607555084E-05,0.9934735617804207
3.565,1.2335196868561962E-05,0.9934895220522401
3.5700000000000003,1.226972779097595E-05,0.9935054433399948
3.575,1.2204705103643023E-05,0.9935212664899836
3.58,1.2140125104080823E-05,0.9935370607066254
3.585,1.207598412605581E-05,0.9935527680958198
3.59,1.2012278539201457E-05,0.9935684276561758
3.595,1.194900474857214E-05,0.9935840292219934
3.6,1.1886159194286565E-05,0.9935995557113376
3.605,1.1823738351103929E-05,0.9936150521970978
3.61,1.1761738728060865E-05,0.9936304471827027
3.615,1.1700156868059768E-05,0.993645815823637
3.62,1.1638989347511746E-05,0.9936611043576483
3.625,1.1578232775953335E-05,0.9936763438489447
3.63,1.151788379568839E-05,0.9936915295005746
3.6350000000000002,1.1457939081399945E-05,0.9937066413619503
3.64,1.1398395339818926E-05,0.9937217248531378
3.645,1.1339249309351525E-05,0.9937367105870393
3.65,1.1280497759727393E-05,0.9937516724110741
3.6550000000000002,1.1222137491669664E-05,0.9937665537262725
3.66,1.116416533652665E-05,0.9937813916703209
3.665,1.110657815595715E-05,0.993796172959615
3.67,1.1049372841594399E-05,0.9938108884805472
3.6750000000000003,1.0992546314703695E-05,0.9938255704451598
3.68,1.0936095525858711E-05,0.9938401649832748
3.685,1.0880017454645282E-05,0.9938547378999102
3.69,1.0824309109309765E-05,0.9938692232985568
3.6950000000000003,1.076896752646343E-05,0.9938836773778701
3.7,1.0713989770774269E-05,0.9938980655251961
3.705,1.0659372934666346E-05,0.9939124021638062
3.71,1.0605114137995641E-05,0.9939266937409612
3.715,1.0551210527776093E-05,0.9939409143195869
3.72,1.0497659277867648E-05,0.9939551100028009
3.725,1.0444457588709642E-05,0.9939692158864339
3.73,1.0391602687001335E-05,0.9939833029805981
3.735,1.0339091825450593E-05,0.9939973088851313
3.74,1.0286922282467792E-05,0.9940112833060885
3.745,1.023509136190844E-05,0.9940251953162337
3.75,1.0183596392784396E-05,0.994039058387582
3.755,1.0132434729004404E-05,0.9940528771602719
3.7600000000000002,1.0081622002886482E-05,0.9940666301995206
3.765,1.003111940602492E-05,0.9940803563996343
3.77,9.980942290175694E-06,0.9940940007066335
3.775,9.931088106276995E-06,0.9941076288412809
3.7800000000000002,9.881554328836882E-06,0.9941211718223819
3.785,9.832338455660181E-06,0.9941346931149817
3.79,9.783438007624202E-06,0.9941481454398874
3.795,9.7348505284166E-06,0.9941615611445961
3.8000000000000003,9.68657358431247E-06,0.9941749234468104
3.805,9.63860476390659E-06,0.9941882348034607
3.81,9.590941677908127E-06,0.9942015077119383
3.815,9.543581958895114E-06,0.9942147159461944
